㓦划	㓦劃
不孕症	不孕症
不孝有三无后为大	不孝有三無後爲大
不学亡术	不學亡術
不学无术	不學無術
不安于位	不安於位
不安于室	不安於室
不完全叶	不完全葉
不寒而栗	不寒而慄
不对腔板	不對腔板
不小于	不小於
不少于	不少於
不尽	不盡
不尽年	不盡年
不尽心	不盡心
不尽木	不盡木
不尽根	不盡根
不尽然	不盡然
不尽相同	不盡相同
不尽道理	不盡道理
不屑于	不屑於
不属于	不屬於
不差毫厘	不差毫釐
不差毫发	不差毫髮
不干	不幹 不乾
