穇	䅟
穌	稣
積	积
穎	颖
穗	穗
穠	秾
穡	穑
穢	秽
穩	稳
穫	获
穭	穞
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竚	𥩟
竪	竖
竱	𫁟
競	竞
筆	笔
筍	笋
筑	筑
筧	笕
筴	䇲
箇	个
箋	笺
箏	筝
節	节
範	范
築	筑
篋	箧
篔	筼
篘	𥬠
篠	筿
篤	笃
篩	筛
篳	筚
篸	𥮾
簀	箦
簂	𫂆
簍	篓
簑	蓑
簞	箪
簡	简
簢	𫂃
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籅	𥫣
籋	𥬞
籌	筹
籔	䉤
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
籤	签
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粵	粤
糉	粽
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
糺	𫄙
系	系
糾	纠
紀	纪
紂	纣
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紟	𫄛
紡	纺
紬	䌷
紮	扎
累	累
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
絁	𫄟
終	终
絃	弦
組	组
絅	䌹
絆	绊
絍	𫟃
絎	绗
結	结
絕	绝
絙	𫄠
絛	绦
絝	绔
絞	绞
絡	络
絢	绚
絥	𫄢
給	给
絧	𫄡
絨	绒
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
絺	𫄨
綀	𦈌
綁	绑
綃	绡
綆	绠
綇	𦈋
綈	绨
綉	绣
綋	𫟄
綌	绤
綏	绥
綐	䌼
綑	捆
經	经
綖	𫄧
綜	综
綞	缍
綟	𫄫
綠	绿
綡	𫟅
綢	绸
綣	绻
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩 䌽
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緍	𦈏
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线 缐
緝	缉
緞	缎
緟	𫟆
締	缔
緡	缗
緣	缘
緤	𫄬
緦	缌
編	编
緩	缓
緬	缅
緮	𫄭
緯	纬
緰	𦈕
緱	缑
緲	缈
練	练
緶	缏
緷	𦈉
緸	𦈑
緹	缇
緻	致
緼	缊
縈	萦
縉	缙
縊	缢
縋	缒
縍	𫄰
縎	𦈔
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縬	𦈚
縭	缡
縮	缩
縰	𫄳
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縸	𫄲
縹	缥
縺	𦈐
總	总
績	绩
繂	𫄴
繃	绷
繅	缫
繆	缪
繈	𫄶
繏	𦈝
繐	穗
繒	缯
繓	𦈛
織	织
繕	缮
繚	缭
繞	绕
繟	𦈎
繡	绣
繢	缋
繨	𫄤
繩	绳
繪	绘
繫	系
繬	𫄱
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繶	𫄷
繷	𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
纇	颣
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纖	纤
纗	𫄹
纘	缵
纚	𫄥
纜	缆
缽	钵
罃	䓨
罈	坛
罌	罂
罎	坛
罰	罚
罵	骂
罷	罢
羅	罗
羆	罴
羈	羁
羋	芈
羣	群
羥	羟
羨	羡
義	义
羵	𫅗
羶	膻
習	习
翬	翚
翹	翘
翽	翙
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聻	𫆏
聽	听
聾	聋
肅	肃
肴	肴
胜	胜
胡	胡
脅	胁
脈	脉
脛	胫
脣	唇
脥	𣍰
脩	修
脫	脱
脹	胀
腊	腊
腌	腌
腎	肾
腖	胨
腡	脶
腦	脑
腪	𣍯
腫	肿
腳	脚
腸	肠
膃	腽
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膩	腻
膹	𪱥
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
臗	𣎑
臘	腊
臚	胪
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
致	致
臺	台
與	与
興	兴
舉	举
舊	旧
舍	舍
舘	馆
艙	舱
艣	𫇛
艤	舣
艦	舰
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
苹	苹
范	范
茲	兹
荊	荆
荐	荐
莊	庄
莖	茎
莢	荚
莧	苋
菕	芲
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萴	荝
萵	莴
葉	叶
葒	荭
著	著
葝	𫈎
葤	荮
葦	苇
葯	药
葷	荤
蒍	𫇭
蒐	搜
蒓	莼
蒔	莳
蒕	蒀
蒙	蒙
蒞	莅
蒭	𫇴
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓧	𦰏
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔑	蔑
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔯	𫈟
蔿	𫇭
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕝	𫈵
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕳	𫈉
蕷	蓣
蕽	𫇽
薀	蕰
薆	𫉁
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薰	薰 熏
薳	䓕
薴	苧
薵	䓓
薹	苔 薹
薺	荠
藉	藉 借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藭	䓖
藴	蕴
藶	苈
藷	𫉄
藹	蔼
藺	蔺
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹 蘋
蘚	藓
蘞	蔹
蘟	𦻕
蘢	茏
蘭	兰
蘺	蓠
蘿	萝
虆	蔂
處	处
虛	虚
虜	虏
號	号
虧	亏
虫	虫
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蜡	蜡
蝕	蚀
蝟	猬
蝦	虾
蝨	虱
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
蟂	𫋇
蟄	蛰
蟈	蝈
蟎	螨
蟘	𫋌
蟜	𫊸
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟳	𫊻
蟶	蛏
蟻	蚁
蠀	𧏗
蠁	蚃
蠅	蝇
蠆	虿
蠍	蝎
蠐	蛴
蠑	蝾
蠔	蚝
蠙	𧏖
蠟	蜡
蠣	蛎
蠦	𫊮
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
蠾	𧑏
衆	众
衊	蔑
術	术
